name,phase,scheme,a_bits,bcd_bits,x_bits,lr,epochs,acc,peak_absA,maxA,maxX
qat_frozen_logpolar_A16x8_eval,ptq,logpolar,16,4,8,,,92.8,,0.999512,17.7865
qat_frozen_logpolar_A16x7,qat_train,logpolar,16,4,7,0.001,2,,0.999512,,
qat_frozen_logpolar_A16x7_eval,ptq,logpolar,16,4,7,,,91.7,,0.999512,88.2187
qat_frozen_logpolar_A16x6,qat_train,logpolar,16,4,6,0.001,2,,0.999512,,
qat_frozen_logpolar_A16x6_eval,ptq,logpolar,16,4,6,,,79.8,,0.999512,846.4214
qat_frozen_logpolar_A8x16,qat_train,logpolar,8,4,16,0.001,2,,0.999512,,
qat_frozen_logpolar_A8x16_eval,ptq,logpolar,8,4,16,,,94.8,,0.999512,16.2541
qat_frozen_logpolar_A8x8,qat_train,logpolar,8,4,8,0.001,2,,0.999512,,
qat_frozen_logpolar_A8x8_eval,ptq,logpolar,8,4,8,,,93.2,,0.999512,24.3128
qat_frozen_logpolar_A8x7,qat_train,logpolar,8,4,7,0.001,2,,0.999512,,
qat_frozen_logpolar_A8x7_eval,ptq,logpolar,8,4,7,,,91.5,,0.999512,77.4989
qat_frozen_logpolar_A8x6,qat_train,logpolar,8,4,6,0.001,2,,0.999512,,
qat_frozen_logpolar_A8x6_eval,ptq,logpolar,8,4,6,,,9.5,,0.999512,222.0851
qat_frozen_logpolar_A7x16,qat_train,logpolar,7,4,16,0.001,2,,0.999512,,
qat_frozen_logpolar_A7x16_eval,ptq,logpolar,7,4,16,,,94.7,,0.999512,13.8939
qat_frozen_logpolar_A7x8,qat_train,logpolar,7,4,8,0.001,2,,0.999512,,
qat_frozen_logpolar_A7x8_eval,ptq,logpolar,7,4,8,,,92.5,,0.999512,16.8419
qat_frozen_logpolar_A7x7,qat_train,logpolar,7,4,7,0.001,2,,0.999512,,
qat_frozen_logpolar_A7x7_eval,ptq,logpolar,7,4,7,,,93.0,,0.999512,168.5932
qat_frozen_logpolar_A7x6,qat_train,logpolar,7,4,6,0.001,2,,0.999512,,
qat_frozen_logpolar_A7x6_eval,ptq,logpolar,7,4,6,,,69.0,,0.999512,874.8076
qat_frozen_logpolar_A6x16,qat_train,logpolar,6,4,16,0.001,2,,0.999512,,
qat_frozen_logpolar_A6x16_eval,ptq,logpolar,6,4,16,,,94.7,,0.999512,16.4301
qat_frozen_logpolar_A6x8,qat_train,logpolar,6,4,8,0.001,2,,0.999512,,
qat_frozen_logpolar_A6x8_eval,ptq,logpolar,6,4,8,,,94.0,,0.999512,18.0245
qat_frozen_logpolar_A6x7,qat_train,logpolar,6,4,7,0.001,2,,0.999512,,
qat_frozen_logpolar_A6x7_eval,ptq,logpolar,6,4,7,,,86.2,,0.999512,28.3938
qat_frozen_logpolar_A6x6,qat_train,logpolar,6,4,6,0.001,2,,0.999512,,
qat_frozen_logpolar_A6x6_eval,ptq,logpolar,6,4,6,,,72.5,,0.999512,467.0687
qat_frozen_logpolar-r1_A8x7,qat_train,logpolar-r1,8,4,7,0.001,2,,0.999512,,
qat_frozen_logpolar-r1_A8x7_eval,ptq,logpolar-r1,8,4,7,,,92.9,,0.999512,27.8376
qat_frozen_logpolar-r1_A8x6,qat_train,logpolar-r1,8,4,6,0.001,2,,0.999512,,
qat_frozen_logpolar-r1_A8x6_eval,ptq,logpolar-r1,8,4,6,,,59.6,,0.999512,488.6203
